SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
162,1,0,51000,0,0,0,A,Montgomery,Alabama,205764,205501,205593,205198,203946,202439,201435,201018,200441,200047,198899,198525
162,4,0,27400,0,0,0,A,Gilbert,Arizona,208453,208462,209493,211466,215916,221626,227308,232401,237139,242695,249914,254114
162,4,0,39370,0,0,0,A,Lake Havasu City,Arizona,52527,52531,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865
162,4,0,55000,0,0,0,A,Phoenix,Arizona,1445632,1446691,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
162,6,0,3666,0,0,0,A,Baldwin Park,California,75390,75397,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251
162,6,0,6000,0,0,0,A,Berkeley,California,112580,112513,112889,113968,115309,116944,118697,120749,121547,122164,121663,121363
162,6,0,11530,0,0,0,A,Carson,California,91714,91711,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394
162,6,0,13210,0,0,0,A,Chino,California,77983,78069,78644,79591,79949,80799,84296,85169,87468,89601,91356,94371
162,6,0,13214,0,0,0,A,Chino Hills,California,74799,74792,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853
162,6,0,17610,0,0,0,A,Cupertino,California,58302,58559,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276
162,6,0,22804,0,0,0,A,Escondido,California,143911,143976,144440,146099,147570,148794,149708,150683,151204,151220,151793,151625
162,6,0,24680,0,0,0,A,Fontana,California,196069,196458,197317,199880,201212,202670,203972,206163,208718,211122,213202,214547
162,6,0,25380,0,0,0,A,Fountain Valley,California,55313,55360,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357
162,6,0,29000,0,0,0,A,Garden Grove,California,170883,170958,171181,172957,173809,174422,174423,174343,174571,173422,172195,171644
162,6,0,36056,0,0,0,A,Huntington Park,California,58114,58125,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509
162,6,0,40004,0,0,0,A,La Mesa,California,57065,57016,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249
162,6,0,44574,0,0,0,A,Lynwood,California,69772,69763,69595,69661,70576,71146,71193,71397,70979,70685,70285,69887
162,6,0,46842,0,0,0,A,Menifee,California,77519,77382,77929,79665,81026,83045,84522,86411,88057,90104,92249,94756
162,6,0,52582,0,0,0,A,Novato,California,51904,51869,51970,52680,53221,54142,54856,55406,55913,55701,55640,55516
162,6,0,53000,0,0,0,A,Oakland,California,390724,390765,391406,396086,401104,406648,412901,418211,420947,424382,429056,433031
162,6,0,60466,0,0,0,A,Rialto,California,99171,99103,99329,100563,101278,101547,102031,102485,102896,103234,103232,103526
162,6,0,68252,0,0,0,A,San Mateo,California,97207,97195,97383,98518,99816,101323,102695,103509,104357,104389,104885,104430
162,6,0,69088,0,0,0,A,Santa Clarita,California,176320,208778,208822,209843,210672,211376,212283,213184,213526,213734,213549,212979
162,6,0,72016,0,0,0,A,Simi Valley,California,124237,124242,124463,125019,125274,125868,126239,126123,125958,126107,125438,125613
162,6,0,80238,0,0,0,A,Tracy,California,82922,83423,83620,84302,84727,84872,85713,86953,89181,90701,91818,94740
162,6,0,81666,0,0,0,A,Vallejo,California,115942,115914,116137,116709,117599,118550,119602,120477,120949,121546,121677,121692
162,8,0,7850,0,0,0,A,Boulder,Colorado,97385,97612,97752,100137,101160,102719,104451,106742,107128,106447,106008,105673
162,8,0,20000,0,0,0,A,Denver,Colorado,600158,599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211
162,8,0,77290,0,0,0,A,Thornton,Colorado,118772,118787,119391,121911,124361,127022,129479,132176,134574,136777,139352,141464
162,9,0,37000,0,0,0,A,Hartford,Connecticut,124775,124765,125354,125434,125266,125128,124665,124311,123654,122888,122556,122105
162,12,0,45000,0,0,0,A,Miami,Florida,399457,399481,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963
162,12,0,54000,0,0,0,A,Palm Bay,Florida,103190,104006,104138,104131,104819,105329,106237,108160,110289,112217,113854,115552
162,12,0,54075,0,0,0,A,Palm Beach Gardens,Florida,48452,49896,50012,50563,51320,52221,53388,54437,55536,56360,57007,57704
162,12,0,55925,0,0,0,A,Pensacola,Florida,51923,52008,52014,51848,52149,52270,52434,52473,52662,52525,52637,52975
162,12,0,64175,0,0,0,A,Sarasota,Florida,51917,52107,52219,52527,52954,53149,54015,54956,56440,57185,57746,58285
162,13,0,68516,0,0,0,A,Sandy Springs,Georgia,93853,93826,94275,96677,98882,99377,101371,104789,105578,106634,108846,109452
162,13,0,73784,0,0,0,A,Stonecrest,Georgia,A,50207,50256,50726,51537,52084,52607,53327,54037,54278,54424,54903
162,16,0,82810,0,0,0,A,Twin Falls,Idaho,44125,44320,44517,44851,45088,45846,46480,47280,48287,49298,49713,50197
162,17,0,3012,0,0,0,A,Aurora,Illinois,197899,197975,198207,199150,199648,199803,200189,200315,200799,200391,199199,197757
162,17,0,7133,0,0,0,A,Bolingbrook,Illinois,73366,73365,73475,73789,73949,73909,74032,74142,74383,75003,75043,74545
162,17,0,12385,0,0,0,A,Champaign,Illinois,81055,81246,81405,82330,83202,84112,84953,86218,87244,87839,87994,88909
162,17,0,57225,0,0,0,A,Palatine,Illinois,68557,68551,68611,68886,69170,69378,69427,69302,68953,68506,67942,67482
162,17,0,68003,0,0,0,A,Schaumburg,Illinois,74227,74233,74294,74551,74775,74911,74903,74651,74592,74039,73388,72887
162,18,0,54180,0,0,0,A,Noblesville,Indiana,51969,52374,52909,54248,55542,56849,57725,58741,60304,61874,63303,64668
162,19,0,73335,0,0,0,A,Sioux City,Iowa,82684,82693,82858,83096,82689,82608,82534,82669,82748,82234,82380,82651
162,19,0,82425,0,0,0,A,Waterloo,Iowa,68406,68496,68492,68554,68535,68700,68676,68619,68108,67758,67722,67328
162,20,0,52575,0,0,0,A,Olathe,Kansas,125872,125922,126269,128325,129963,131798,132839,134298,135928,137526,139758,140545
162,20,0,79000,0,0,0,A,Wichita,Kansas,382368,382437,382745,383773,385751,387210,388416,389412,390519,390277,389231,389938
162,22,0,8920,0,0,0,A,Bossier City,Louisiana,61315,61768,62120,63540,65414,66191,67078,68157,68125,68471,68316,68159
162,22,0,40735,0,0,0,B,Lafayette,Louisiana,120623,121667,121836,122674,123587,124873,126036,126922,127221,126526,126371,126185
162,22,0,41155,0,0,0,A,Lake Charles,Louisiana,71993,72398,72531,72873,73665,73886,74513,75685,76462,77586,78266,78396
162,25,0,52490,0,0,0,A,Peabody,Massachusetts,51251,51266,51399,51632,51904,52224,52463,52629,52759,52948,53092,53070
162,25,0,69170,0,0,0,A,Taunton,Massachusetts,55874,55826,55851,55876,55990,56109,56659,56838,56939,56982,57365,57464
162,25,0,72600,0,0,0,A,Waltham,Massachusetts,60632,60638,60889,61382,62047,62327,63114,63003,62939,62822,62563,62495
162,26,0,21020,0,0,0,A,Dearborn Heights,Michigan,57774,57774,57640,57278,57115,56653,56596,56322,56097,55873,55627,55353
162,26,0,29000,0,0,0,A,Flint,Michigan,102434,102266,102035,101256,100233,99479,98617,97823,97110,96460,95926,95538
162,26,0,46000,0,0,0,A,Lansing,Michigan,114297,114265,114321,114559,114661,114734,115093,115324,116569,117730,117931,118210
162,26,0,65440,0,0,0,A,Pontiac,Michigan,59515,59695,59687,59913,60299,60448,60466,60260,60224,60123,59741,59438
162,26,0,70760,0,0,0,A,St. Clair Shores,Michigan,59715,59765,59767,59799,59986,60183,60085,59912,59788,59657,59282,58984
162,27,0,51730,0,0,0,A,Plymouth,Minnesota,70576,70591,70715,71703,73104,74096,75176,76034,77341,78128,79345,79768
162,28,0,36000,0,0,0,A,Jackson,Mississippi,173514,173551,173698,175149,174822,172927,172014,170901,169022,166823,163772,160628
162,29,0,38000,0,0,0,A,Kansas City,Missouri,459787,459902,460697,462368,464595,467213,470629,475073,481670,488329,492012,495327
162,29,0,41348,0,0,0,A,Lee's Summit,Missouri,91364,91368,91526,91920,92376,92968,93727,94871,96034,97169,98522,99357
162,29,0,64550,0,0,0,A,St. Joseph,Missouri,76780,76783,76659,77202,77332,77221,76994,76496,76443,76076,75604,74875
162,30,0,6550,0,0,0,A,Billings,Montana,104170,104284,104509,105458,106765,108561,108434,109599,109620,109797,109444,109577
162,34,0,13690,0,0,0,A,Clifton,New Jersey,84136,84117,84169,84690,84695,84898,85141,85240,85192,85267,85251,85052
162,34,0,51210,0,0,0,A,New Brunswick,New Jersey,55181,54500,54886,55296,55404,55896,55882,56009,56183,56120,55878,55676
162,36,0,33139,0,0,0,A,Hempstead,New York,53891,54018,54081,54187,54982,55476,55488,55407,55367,55363,55246,55113
162,36,0,50617,0,0,0,A,New Rochelle,New York,77062,77115,77233,77701,78328,79265,79342,79419,79455,79084,78822,78557
162,36,0,65508,0,0,0,A,Schenectady,New York,66135,66157,66151,66098,66087,65829,65846,65538,65076,65300,65345,65273
162,37,0,2140,0,0,0,A,Asheville,North Carolina,83393,83420,83459,84457,85321,86355,87837,89374,91123,91748,92630,92870
162,37,0,25580,0,0,0,A,Gastonia,North Carolina,71741,71720,71707,71871,72503,72789,73183,74009,74963,76307,76885,77273
162,37,0,33120,0,0,0,A,Huntersville,North Carolina,46773,46909,47103,48184,49424,50673,51728,52973,55273,56385,57212,58098
162,37,0,34200,0,0,0,A,Jacksonville,North Carolina,70145,70327,78089,75194,76365,75681,74217,74306,72745,72800,72775,72436
162,37,0,57500,0,0,0,A,Rocky Mount,North Carolina,57477,57695,57680,57401,56735,56300,55880,55003,54992,54634,54232,53922
162,37,0,74440,0,0,0,A,Wilmington,North Carolina,106476,106456,106754,108141,109658,111686,113320,115050,118770,120836,122616,123744
162,39,0,44856,0,0,0,A,Lorain,Ohio,64097,64099,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855
162,40,0,52500,0,0,0,A,Norman,Oklahoma,110925,110911,111402,113882,115600,118695,118228,120239,121974,123390,123844,124880
162,41,0,23850,0,0,0,A,Eugene,Oregon,156185,156431,156527,157424,158238,158441,160260,162910,165927,169391,170701,172622
162,42,0,24000,0,0,0,A,Erie,Pennsylvania,101786,101738,101719,101511,101290,100532,99714,99030,98211,97214,96298,95508
162,45,0,13330,0,0,0,A,Charleston,South Carolina,120083,120364,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566
162,47,0,3440,0,0,0,A,Bartlett,Tennessee,54613,56941,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440
162,47,0,37640,0,0,0,A,Jackson,Tennessee,65211,66847,66814,66726,67018,67467,67112,66760,66718,66748,66952,67191
162,48,0,5000,0,0,0,A,Austin,Texas,790390,801829,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908
162,48,0,32372,0,0,0,A,Harlingen,Texas,64849,64943,65102,65638,65786,65674,65510,65208,65229,65153,64996,65022
162,48,0,42016,0,0,0,A,Leander,Texas,26521,27288,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608
162,48,0,50820,0,0,0,A,New Braunfels,Texas,57740,57676,58059,59319,60885,63025,65902,70133,73351,78902,84495,90209
162,48,0,52356,0,0,0,A,North Richland Hills,Texas,63343,63341,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670
162,48,0,65600,0,0,0,A,San Marcos,Texas,44894,45139,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776
162,48,0,72392,0,0,0,A,Texas City,Texas,45099,45084,45284,45179,45577,45900,46383,47299,47994,48417,49078,50094
162,48,0,76000,0,0,0,A,Waco,Texas,124805,124797,125377,126443,127494,129011,129860,131801,133421,136939,137886,139236
162,48,0,80356,0,0,0,A,Wylie,Texas,41427,41685,42044,43597,44769,45352,46439,47348,48499,49536,51003,53067
162,51,0,47672,0,0,0,A,Lynchburg,Virginia,75568,75534,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168
162,53,0,3180,0,0,0,A,Auburn,Washington,70180,70301,70560,71748,73474,74924,76198,77479,78725,81333,81789,81464
162,53,0,22640,0,0,0,A,Everett,Washington,103019,102953,103173,103445,104436,105048,106460,107077,108931,110169,111088,111475
162,53,0,67000,0,0,0,A,Spokane,Washington,208916,209455,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081
162,53,0,74060,0,0,0,A,Vancouver,Washington,161791,167159,167595,169046,170035,171565,173406,176409,178621,180360,182887,184463
162,53,0,80010,0,0,0,A,Yakima,Washington,91067,91273,91637,92605,92654,92713,92790,92953,93429,93500,93548,93637
162,55,0,22300,0,0,0,A,Eau Claire,Wisconsin,65883,66230,66298,66841,67342,67892,67747,67740,68254,68547,68770,68802
162,55,0,40775,0,0,0,A,La Crosse,Wisconsin,51320,51343,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227
